pred_class,p_orig,comprehensiveness,sufficiency,deletion_auc,n_words,k
0,0.8970773853518376,0.1284060680439324,-0.09383197245744535,0.7324475454690146,8,2
0,0.8087951503629456,0.12004400426177397,-0.168236743818292,0.6748372497238625,6,1
0,0.9439549162540756,0.12313387226017947,-0.05055138030808992,0.7784163006700354,13,3
0,0.6404225707417144,0.49368133559789207,-0.35777148518387136,0.21686047344171308,33,7
0,0.970813266946214,0.16906118820072347,-0.028448297318071414,0.7624197550619681,30,6
0,0.9249524129396165,0.07252457937706858,-0.06838156432807196,0.7725478627529845,16,3
1,0.866085859037924,0.7217465969071113,-0.11951989483765724,0.24572632371029812,15,3
0,0.9696692360473576,0.08954526135955354,-0.028470205557110106,0.8091041269807365,22,4
1,0.7508804153138655,0.5139259672638714,-0.24338068410757385,0.30591141364197405,21,4
0,0.8781107473070464,0.054046107677718114,-0.11713601962175435,0.7537190135891785,10,2
0,0.9940380696918611,0.004947624089752134,0.0021910763441844727,0.8960992956915657,16,3
0,0.5045865150850329,0.17144822578730867,-0.4709542534727582,0.3071858310817872,47,9
1,0.5470219500365623,0.5325393002438829,-0.4515538314590942,0.0914950988848451,16,3
0,0.7829721511947209,0.4101968499716069,-0.21452791197185173,0.43190842328844425,18,4
1,0.7483428918607956,0.6821107981161435,-0.2470785827544778,0.1542313694231949,32,6
0,0.8789629579430538,0.2567619736525104,-0.12007212446266824,0.5694050971601329,47,9
0,0.8984991031736079,0.2840965942642838,-0.10060104901893863,0.5715250840628113,19,4
0,0.8212870135643058,0.144433002792139,-0.17567027306163008,0.6464854684003476,17,3
0,0.8432866440856537,0.23755964123192652,-0.14911982335099405,0.5933134806724885,9,2
0,0.718702339890334,-0.028646258275333736,-0.2356712073247763,0.6642489169504125,7,1
0,0.8864138434987685,0.30495754397040964,-0.1105439495886491,0.5488159795080306,89,18
0,0.8721773338355325,0.000693180130185489,-0.10454145483896293,0.7908541877350571,6,1
1,0.9928912799609747,0.09278103759275225,0.017510470779607545,0.7984537849278788,11,2
1,0.6351529106098514,0.579632276423413,-0.3269219869808334,0.2137215835851145,12,2
0,0.9791931847345685,0.034360308408587614,-0.019054751158928518,0.8721884568387314,5,1
1,0.6960633997621629,0.6555283642778429,-0.3035654358396298,0.12459905682689403,14,3
1,0.7769293941488674,0.3769054036107447,0.09767801513039587,0.5100503655977194,5,1
1,0.5228396727588903,0.44964549332555137,-0.3636576949950766,0.1940614386058524,8,2
0,0.9169181153769195,0.0770880901289559,-0.06743517693228762,0.8153118688541432,10,2
0,0.9706094073454443,0.056364285910626366,-0.023493071007829935,0.8307612764016913,11,2
0,0.988023770053217,0.02570069173169698,-0.0070739919441491494,0.8816082322748787,7,1
0,0.7800690142251423,0.44098232705999085,-0.2145307752491039,0.37187141665368384,49,10
0,0.9839968097450822,0.043567784675146215,-0.014513472451689213,0.8164452150991637,22,4
0,0.9995628447649153,0.004076361071085666,-0.00015538741431064818,0.9012860772433878,24,5
0,0.9708493526388539,0.024998335932870708,-0.019826791641494035,0.8702827403436365,5,1
0,0.9880686826804878,0.00841242516654972,-0.005988476211222227,0.8873770810886142,12,2
0,0.7724577982584561,0.07037654148740802,-0.21463912964565368,0.6660802820432494,7,1
0,0.878875593737079,0.06818431397406566,-0.11200517403738275,0.7632550885099757,9,2
0,0.9938493810005964,0.017493020995417274,-0.0027995258036099813,0.875017751731022,18,4
0,0.8251402762274815,0.052065331387471714,-0.140841044331943,0.6974480160872528,8,2
1,0.8153933814510905,0.730059923642666,-0.1259932480709266,0.24744352159999775,22,4
0,0.9434755828588277,0.03916076442078886,-0.04379176001681373,0.837246487740765,5,1
0,0.9771975223095972,0.015692259574676237,-0.01733355059511954,0.880265552557931,6,1
0,0.982545105136653,0.018344682041815275,-0.013485906113864687,0.8836063488056181,6,1
0,0.9886965312312306,0.005424469848913427,-0.008494427877642208,0.8931489522776449,26,5
0,0.8816011861979476,0.19729919302441723,-0.11122675965120676,0.6856624634262651,7,1
0,0.9557187038623569,0.05119333573566909,-0.039542850619830094,0.8231854640949829,11,2
0,0.6807294654926406,0.16855105586190278,-0.29481970235128996,0.4959977278766345,19,4
0,0.9872405191179683,0.01388024926559639,-0.008895346752567868,0.8828066709691789,14,3
0,0.9960840306555431,0.05171935872671585,-0.002649971845980925,0.8403148818200539,19,4
0,0.9921047518466996,0.045082490032806954,-0.0064983885515799145,0.8652050190550511,9,2
0,0.9862227164373969,0.007400234521831139,0.0019644425144556,0.8887124595748503,8,2
0,0.9355872693759224,0.06268400454647949,-0.04830738995523354,0.8153054129469506,10,2
0,0.9833964868709479,0.022348310364126767,-0.013600394567668483,0.8714690770017038,17,3
0,0.8509742157034176,0.24921046303753613,-0.14708103287397056,0.5847941273800381,16,3
0,0.9717684194873486,0.018103697299273747,-0.01756717171612132,0.8718397566245524,9,2
0,0.911428384779272,0.0420311693210248,-0.07587506055626725,0.8066399370749793,7,1
0,0.9868477375319508,0.015848064389302308,-0.010453350715928678,0.8887505300494162,7,1
0,0.9283473144126916,0.011971051872103344,-0.052920198527271256,0.8349778245875257,8,2
0,0.9853432336626088,0.04687755443521502,-0.011320112221873346,0.8595111259551803,16,3
0,0.611806120072938,0.050575066758186016,-0.35229355727306333,0.490452068967971,10,2
0,0.9615018241468333,0.012384977175832979,-0.009411595425690367,0.866855173585993,11,2
1,0.6062307569940109,0.4938085605470349,-0.3290872077326561,0.1745533297681667,17,3
0,0.9925796243226522,0.0025891528848593914,0.0008035314840398877,0.9010824808583149,6,1
0,0.9395417215448051,0.10165952985670212,-0.044225743329528,0.7961662392453182,6,1
0,0.6862170916912108,0.18095407918459328,-0.2998639169706504,0.5002885409944171,11,2
1,0.8154554593376356,0.7240667349426901,-0.17194832743711208,0.2975448072514745,8,2
0,0.9489810099299247,0.09499512077316008,-0.04620889514683013,0.7836928569532833,9,2
0,0.9918605264943574,0.022015754479813854,-0.0005055265431282985,0.8876227589319767,5,1
0,0.9674603891854512,0.038617869399309224,-0.021041877189795777,0.8329360220460074,15,3
0,0.9839198998004183,-0.0018765378969054503,-0.007247386173530712,0.8872045477564549,9,2
0,0.9957845462475304,0.0027479743669944767,0.0006784513972606376,0.9030237739970617,5,1
0,0.7662771599630727,0.1596377079753254,-0.20964857916114887,0.5979540202982467,8,2
0,0.9261975317556591,0.07540399708312728,-0.07063983747109659,0.7819129434041492,12,2
0,0.6862157485279382,0.138800902799597,-0.3043364642806615,0.5466489734064297,13,3
0,0.9676234237578373,0.08753133615752573,-0.030848363226591347,0.7883174084097306,13,3
0,0.5386716728583719,0.3328456828257358,-0.4458466021557673,0.27420985504149914,11,2
0,0.9910416993302268,0.026136190962766204,-0.0038763489092870085,0.8693640954325871,26,5
0,0.9471749849121811,0.005453866415205955,-0.03398231557204101,0.8583144601473549,6,1
0,0.9447606793678527,0.08062791137014913,-0.053176732954393846,0.8194488300982324,6,1
0,0.979006539536191,-0.0008548144895297316,-0.0011576151135613832,0.8906355309094006,5,1
0,0.9572217435431155,0.1054895355842368,-0.040489387768269935,0.7819271420639697,15,3
0,0.9586933405745864,0.17719098264164634,-0.040852145468172285,0.6949107095389226,30,6
0,0.9760795275809953,0.008052017949595869,-0.012729049329155528,0.88209109440618,7,1
0,0.9748833368598293,0.04002788769824106,-0.02071438008781401,0.865251209767449,8,2
0,0.9270177180707482,0.01822265720920202,-0.05693219001640981,0.8190875747993853,9,2
0,0.9676931076485092,0.008217593660469369,-0.014404094650311117,0.8761838294354202,5,1
0,0.9769899791495683,0.017592270448593128,-0.022004026894184014,0.8780854312038616,7,1
0,0.7752491694890361,0.23044670244089793,-0.21634247678882546,0.5487565074873335,14,3
0,0.9247119753305781,0.09747740282162531,-0.06495442056517009,0.7786467608562181,8,2
0,0.9876402550305742,0.006413537043391759,-0.008912525917127434,0.8834465136986256,16,3
0,0.9187076599775198,0.06628063805454676,-0.07742834827260159,0.8009028848310876,5,1
0,0.9868418749163773,0.0030503191890589587,-0.004628104614499695,0.8955122129272343,7,1
